P3HT content (%),D1 content (%),D2 content (%),D6 content (%),D8 content (%),Y
0.8984375,0.5234375,0.3359375,0.7109375,0.2734375,0.05890201
0.8984375,0.5234375,0.9453125,0.8671875,0.2734375,0.04906605
0.8984375,0.5234375,0.9453125,0.7109375,0.2421875,0.05426529
0.8203125,0.2890625,0.3359375,0.8671875,0.2421875,0.0068654343
0.6484375,0.2734375,0.1953125,0.4609375,0.0234375,0.07870972
0.5703125,0.2734375,0.1953125,0.4609375,0.0234375,0.090535864
0.6484375,0.5390625,0.1953125,0.4609375,0.0234375,0.1413758
0.6484375,0.2734375,0.0859375,0.4609375,0.0234375,0.17095181
0.6484375,0.2734375,0.1953125,0.6171875,0.0234375,0.0765108
0.6484375,0.2734375,0.1953125,0.4609375,0.4921875,0.051841192
0.5703125,0.5390625,0.0859375,0.6171875,0.4921875,0.2163766
0.1484375,0.7734375,0.6953125,0.9609375,0.5234375,0.5499422
0.0703125,0.7734375,0.6953125,0.9609375,0.5234375,0.5500347
0.1484375,0.0390625,0.6953125,0.9609375,0.5234375,0.39289123
0.1484375,0.7734375,0.5859375,0.9609375,0.5234375,0.6053617
0.1484375,0.7734375,0.6953125,0.1171875,0.5234375,0.6375842
0.1484375,0.7734375,0.6953125,0.9609375,0.9921875,0.49469388
0.0703125,0.0390625,0.5859375,0.1171875,0.9921875,0.48079693
0.2109375,0.2109375,0.1328125,0.6484375,0.2109375,0.28070956
0.1328125,0.2109375,0.1328125,0.6484375,0.2109375,0.28113478
0.2109375,0.8515625,0.1328125,0.6484375,0.2109375,0.49007547
0.2109375,0.2109375,0.7734375,0.6484375,0.2109375,0.26786846
0.2109375,0.2109375,0.1328125,0.3046875,0.2109375,0.2885483
0.2109375,0.2109375,0.1328125,0.6484375,0.3046875,0.26813364
0.1328125,0.8515625,0.7734375,0.3046875,0.3046875,0.47292235
0.7109375,0.7109375,0.6328125,0.1484375,0.7109375,0.40311438
0.6328125,0.7109375,0.6328125,0.1484375,0.7109375,0.40583706
0.7109375,0.3515625,0.6328125,0.1484375,0.7109375,0.2785613
0.7109375,0.7109375,0.2734375,0.1484375,0.7109375,0.23071256
0.7109375,0.7109375,0.6328125,0.8046875,0.7109375,0.36191857
0.7109375,0.7109375,0.6328125,0.1484375,0.8046875,0.37725514
0.6328125,0.3515625,0.2734375,0.8046875,0.8046875,0.041827098
0.9609375,0.4609375,0.3828125,0.8984375,0.9609375,0.07432908
0.8828125,0.4609375,0.3828125,0.8984375,0.9609375,0.07433522
0.9609375,0.6015625,0.3828125,0.8984375,0.9609375,0.124174565
0.9609375,0.4609375,0.0234375,0.8984375,0.9609375,0.18183485
0.9609375,0.4609375,0.3828125,0.5546875,0.9609375,0.07685816
0.9609375,0.4609375,0.3828125,0.8984375,0.5546875,0.13615489
0.8828125,0.6015625,0.0234375,0.5546875,0.5546875,0.2960414
0.4609375,0.9609375,0.8828125,0.3984375,0.4609375,0.38933268
0.3828125,0.9609375,0.8828125,0.3984375,0.4609375,0.47191033
0.4609375,0.1015625,0.8828125,0.3984375,0.4609375,0.12755856
0.4609375,0.9609375,0.5234375,0.3984375,0.4609375,0.55982786
0.4609375,0.9609375,0.8828125,0.0546875,0.4609375,0.29210624
0.4609375,0.9609375,0.8828125,0.3984375,0.0546875,0.4194
0.3828125,0.1015625,0.5234375,0.0546875,0.0546875,0.3134723
0.3359375,0.3359375,0.5078125,0.2734375,0.3359375,0.3725912
0.0078125,0.3359375,0.5078125,0.2734375,0.3359375,0.3827204
0.3359375,0.7265625,0.5078125,0.2734375,0.3359375,0.50732124
0.3359375,0.3359375,0.1484375,0.2734375,0.3359375,0.2683373
0.3359375,0.3359375,0.5078125,0.6796875,0.3359375,0.36234903
0.3359375,0.3359375,0.5078125,0.2734375,0.9296875,0.37987185
0.0078125,0.7265625,0.1484375,0.6796875,0.9296875,0.4102351
0.8359375,0.8359375,0.0078125,0.7734375,0.8359375,0.38628408
0.5078125,0.8359375,0.0078125,0.7734375,0.8359375,0.4388294
0.8359375,0.2265625,0.0078125,0.7734375,0.8359375,0.18548319
0.8359375,0.8359375,0.6484375,0.7734375,0.8359375,0.3785189
0.8359375,0.8359375,0.0078125,0.1796875,0.8359375,0.41219988
0.8359375,0.8359375,0.0078125,0.7734375,0.4296875,0.37134448
0.5078125,0.2265625,0.6484375,0.1796875,0.4296875,0.24123952
0.5859375,0.0859375,0.7578125,0.0234375,0.5859375,0.087518364
0.7578125,0.0859375,0.7578125,0.0234375,0.5859375,0.07790294
0.5859375,0.9765625,0.7578125,0.0234375,0.5859375,0.35559386
0.5859375,0.0859375,0.8984375,0.0234375,0.5859375,0.014758926
0.5859375,0.0859375,0.7578125,0.4296875,0.5859375,0.14011416
0.5859375,0.0859375,0.7578125,0.0234375,0.1796875,0.036487162
0.7578125,0.9765625,0.8984375,0.4296875,0.1796875,0.27478358
0.0859375,0.5859375,0.2578125,0.5234375,0.0859375,0.3369073
0.2578125,0.5859375,0.2578125,0.5234375,0.0859375,0.33536837
0.0859375,0.4765625,0.2578125,0.5234375,0.0859375,0.29807657
0.0859375,0.5859375,0.3984375,0.5234375,0.0859375,0.40637577
0.0859375,0.5859375,0.2578125,0.9296875,0.0859375,0.33382335
0.0859375,0.5859375,0.2578125,0.5234375,0.6796875,0.36177674
0.2578125,0.4765625,0.3984375,0.9296875,0.6796875,0.3877916
0.1171875,0.1171875,0.6640625,0.4921875,0.9296875,0.3646454
0.5390625,0.1171875,0.6640625,0.4921875,0.9296875,0.17169783
0.1171875,0.1328125,0.6640625,0.4921875,0.9296875,0.36349317
0.1171875,0.1171875,0.9296875,0.4921875,0.9296875,0.21667585
0.1171875,0.1171875,0.6640625,0.7734375,0.9296875,0.36182296
0.1171875,0.1171875,0.6640625,0.4921875,0.2109375,0.36817288
0.5390625,0.1328125,0.9296875,0.7734375,0.2109375,0.023281127
0.6171875,0.6171875,0.1640625,0.9921875,0.4296875,0.14372009
0.0390625,0.6171875,0.1640625,0.9921875,0.4296875,0.3601056
0.6171875,0.6328125,0.1640625,0.9921875,0.4296875,0.15037513
0.6171875,0.6171875,0.4296875,0.9921875,0.4296875,0.19738844
0.6171875,0.6171875,0.1640625,0.2734375,0.4296875,0.1555892
0.6171875,0.6171875,0.1640625,0.9921875,0.7109375,0.19557983
0.0390625,0.6328125,0.4296875,0.2734375,0.7109375,0.48415783
0.8671875,0.3671875,0.9140625,0.2421875,0.1796875,0.030078694
0.2890625,0.3671875,0.9140625,0.2421875,0.1796875,0.247796
0.8671875,0.3828125,0.9140625,0.2421875,0.1796875,0.033312723
0.8671875,0.3671875,0.1796875,0.2421875,0.1796875,0.061168686
0.8671875,0.3671875,0.9140625,0.0234375,0.1796875,-0.032325327
0.8671875,0.3671875,0.9140625,0.2421875,0.9609375,0.011702247
0.2890625,0.3828125,0.1796875,0.0234375,0.9609375,0.20133957
0.3671875,0.8671875,0.4140625,0.7421875,0.6796875,0.5559247
0.7890625,0.8671875,0.4140625,0.7421875,0.6796875,0.35560322
0.3671875,0.8828125,0.4140625,0.7421875,0.6796875,0.56401414
0.3671875,0.8671875,0.6796875,0.7421875,0.6796875,0.6144053
0.3671875,0.8671875,0.4140625,0.5234375,0.6796875,0.5580601
0.3671875,0.8671875,0.4140625,0.7421875,0.4609375,0.5107365
0.7890625,0.8828125,0.6796875,0.5234375,0.4609375,0.37912053
0.4921875,0.4921875,0.0390625,0.6171875,0.5546875,0.31424698
0.6640625,0.4921875,0.0390625,0.6171875,0.5546875,0.2464068
0.4921875,0.2578125,0.0390625,0.6171875,0.5546875,0.2662759
0.4921875,0.4921875,0.0546875,0.6171875,0.5546875,0.30256012
0.4921875,0.4921875,0.0390625,0.1484375,0.5546875,0.35406688
0.4921875,0.4921875,0.0390625,0.6171875,0.5859375,0.3218288
0.6640625,0.2578125,0.0546875,0.1484375,0.5859375,0.23415059
0.9921875,0.9921875,0.5390625,0.1171875,0.0546875,0.5850647
0.1640625,0.9921875,0.5390625,0.1171875,0.0546875,0.80595964
0.9921875,0.7578125,0.5390625,0.1171875,0.0546875,0.4650713
0.9921875,0.9921875,0.5546875,0.1171875,0.0546875,0.5897775
0.9921875,0.9921875,0.5390625,0.6484375,0.0546875,0.49920145
0.9921875,0.9921875,0.5390625,0.1171875,0.0859375,0.5753161
0.1640625,0.7578125,0.5546875,0.6484375,0.0859375,0.5950672
0.7421875,0.2421875,0.2890625,0.8671875,0.3046875,-0.021791264
0.4140625,0.2421875,0.2890625,0.8671875,0.3046875,0.14491975
0.7421875,0.0078125,0.2890625,0.8671875,0.3046875,-0.004699871
0.7421875,0.2421875,0.8046875,0.8671875,0.3046875,0.009899095
0.7421875,0.2421875,0.2890625,0.8984375,0.3046875,-0.02192916
0.7421875,0.2421875,0.2890625,0.8671875,0.3359375,-0.020023473
0.4140625,0.0078125,0.8046875,0.8984375,0.3359375,0.1953314
0.2421875,0.7421875,0.7890625,0.3671875,0.8046875,0.44998583
0.9140625,0.7421875,0.7890625,0.3671875,0.8046875,0.23000363
0.2421875,0.5078125,0.7890625,0.3671875,0.8046875,0.35127112
0.2421875,0.7421875,0.3046875,0.3671875,0.8046875,0.41069618
0.2421875,0.7421875,0.7890625,0.3984375,0.8046875,0.448988
0.2421875,0.7421875,0.7890625,0.3671875,0.8359375,0.43892494
0.9140625,0.5078125,0.3046875,0.3984375,0.8359375,0.07994054
0.1796875,0.3046875,0.3515625,0.0546875,0.4921875,0.18707734
0.8515625,0.3046875,0.3515625,0.0546875,0.4921875,-0.03372871
0.1796875,0.3203125,0.3515625,0.0546875,0.4921875,0.18925625
0.1796875,0.3046875,0.1171875,0.0546875,0.4921875,0.24167705
0.1796875,0.3046875,0.3515625,0.2109375,0.4921875,0.29780158
0.1796875,0.3046875,0.3515625,0.0546875,0.3984375,0.15602209
0.8515625,0.3203125,0.1171875,0.2109375,0.3984375,0.102718905
0.6796875,0.8046875,0.8515625,0.5546875,0.9921875,0.1713158
0.3515625,0.8046875,0.8515625,0.5546875,0.9921875,0.37680662
0.6796875,0.8203125,0.8515625,0.5546875,0.9921875,0.1792685
0.6796875,0.8046875,0.6171875,0.5546875,0.9921875,0.34242582
0.6796875,0.8046875,0.8515625,0.7109375,0.9921875,0.1698211
0.6796875,0.8046875,0.8515625,0.5546875,0.8984375,0.18820709
0.3515625,0.8203125,0.6171875,0.7109375,0.8984375,0.5712659
0.9296875,0.0546875,0.1015625,0.3046875,0.7421875,0.16269816
0.1015625,0.0546875,0.1015625,0.3046875,0.7421875,0.3837158
0.9296875,0.0703125,0.1015625,0.3046875,0.7421875,0.1604511
0.9296875,0.0546875,0.8671875,0.3046875,0.7421875,0.065041415
0.9296875,0.0546875,0.1015625,0.9609375,0.7421875,0.15308069
0.9296875,0.0546875,0.1015625,0.3046875,0.6484375,0.17425394
0.1015625,0.0703125,0.8671875,0.9609375,0.6484375,0.2857503
0.4296875,0.5546875,0.6015625,0.8046875,0.2421875,0.38555673
0.6015625,0.5546875,0.6015625,0.8046875,0.2421875,0.24244651
0.4296875,0.5703125,0.6015625,0.8046875,0.2421875,0.39151117
0.4296875,0.5546875,0.3671875,0.8046875,0.2421875,0.24558324
0.4296875,0.5546875,0.6015625,0.4609375,0.2421875,0.38913158
0.4296875,0.5546875,0.6015625,0.8046875,0.1484375,0.41206545
0.6015625,0.5703125,0.3671875,0.4609375,0.1484375,0.13851103
0.3046875,0.1796875,0.9765625,0.9296875,0.1171875,0.2640923
0.9765625,0.1796875,0.9765625,0.9296875,0.1171875,0.0478782
0.3046875,0.1953125,0.9765625,0.9296875,0.1171875,0.2640569
0.3046875,0.1796875,0.9921875,0.9296875,0.1171875,0.27562633
0.3046875,0.1796875,0.9765625,0.8359375,0.1171875,0.2645073
0.3046875,0.1796875,0.9765625,0.9296875,0.7734375,0.28034008
0.9765625,0.1953125,0.9921875,0.8359375,0.7734375,0.07603954
0.8046875,0.6796875,0.4765625,0.4296875,0.6171875,0.32125998
0.4765625,0.6796875,0.4765625,0.4296875,0.6171875,0.4098686
0.8046875,0.6953125,0.4765625,0.4296875,0.6171875,0.32848847
0.8046875,0.6796875,0.4921875,0.4296875,0.6171875,0.33313572
0.8046875,0.6796875,0.4765625,0.3359375,0.6171875,0.3243217
0.8046875,0.6796875,0.4765625,0.4296875,0.2734375,0.24484639
0.4765625,0.6953125,0.4921875,0.3359375,0.2734375,0.35562104
0.5546875,0.4296875,0.7265625,0.6796875,0.8671875,0.15644374
0.2265625,0.4296875,0.7265625,0.6796875,0.8671875,0.3568126
0.5546875,0.4453125,0.7265625,0.6796875,0.8671875,0.1606712
0.5546875,0.4296875,0.2421875,0.6796875,0.8671875,0.057437245
0.5546875,0.4296875,0.7265625,0.0859375,0.8671875,0.14594334
0.5546875,0.4296875,0.7265625,0.6796875,0.0234375,0.2010173
0.2265625,0.4453125,0.2421875,0.0859375,0.0234375,0.2961067
0.0546875,0.9296875,0.2265625,0.1796875,0.3671875,0.48551866
0.7265625,0.9296875,0.2265625,0.1796875,0.3671875,0.26480344
0.0546875,0.9453125,0.2265625,0.1796875,0.3671875,0.49359056
0.0546875,0.9296875,0.7421875,0.1796875,0.3671875,0.5653754
0.0546875,0.9296875,0.2265625,0.5859375,0.3671875,0.46113136
0.0546875,0.9296875,0.2265625,0.1796875,0.5234375,0.53460544
0.7265625,0.9453125,0.7421875,0.5859375,0.5234375,0.3774316
0.0390625,0.1328125,0.3984375,0.3515625,0.5078125,0.3240772
0.6171875,0.1328125,0.3984375,0.3515625,0.5078125,0.10769168
0.0390625,0.3984375,0.3984375,0.3515625,0.5078125,0.34685045
0.0390625,0.1328125,0.6015625,0.3515625,0.5078125,0.43745288
0.0390625,0.1328125,0.3984375,0.2578125,0.5078125,0.32984743
0.0390625,0.1328125,0.3984375,0.3515625,0.0703125,0.3328854
0.6171875,0.3984375,0.6015625,0.2578125,0.0703125,0.2584191
0.5390625,0.6328125,0.8984375,0.8515625,0.0078125,0.18114644
0.1171875,0.6328125,0.8984375,0.8515625,0.0078125,0.374094
0.5390625,0.8984375,0.8984375,0.8515625,0.0078125,0.3110134
0.5390625,0.6328125,0.1015625,0.8515625,0.0078125,0.2817285
0.5390625,0.6328125,0.8984375,0.7578125,0.0078125,0.181657
0.5390625,0.6328125,0.8984375,0.8515625,0.5703125,0.1755388
0.1171875,0.8984375,0.1015625,0.7578125,0.5703125,0.59944594
0.7890625,0.3828125,0.1484375,0.1015625,0.2578125,0.23717393
0.3671875,0.3828125,0.1484375,0.1015625,0.2578125,0.4374953
0.7890625,0.1484375,0.1484375,0.1015625,0.2578125,0.21701534
0.7890625,0.3828125,0.3515625,0.1015625,0.2578125,0.2107832
0.7890625,0.3828125,0.1484375,0.5078125,0.2578125,0.059434876
0.7890625,0.3828125,0.1484375,0.1015625,0.8203125,0.2776792
0.3671875,0.1484375,0.3515625,0.5078125,0.8203125,0.25371224
0.2890625,0.8828125,0.6484375,0.6015625,0.7578125,0.64785546
0.8671875,0.8828125,0.6484375,0.6015625,0.7578125,0.4301381
0.2890625,0.6484375,0.6484375,0.6015625,0.7578125,0.53289896
0.2890625,0.8828125,0.8515625,0.6015625,0.7578125,0.4914258
0.2890625,0.8828125,0.6484375,0.0078125,0.7578125,0.60681695
0.2890625,0.8828125,0.6484375,0.6015625,0.3203125,0.58423185
0.8671875,0.6484375,0.8515625,0.0078125,0.3203125,0.054089814
0.4140625,0.2578125,0.7734375,0.7265625,0.8828125,0.22547793
0.7421875,0.2578125,0.7734375,0.7265625,0.8828125,0.05876693
0.4140625,0.0234375,0.7734375,0.7265625,0.8828125,0.23844624
0.4140625,0.2578125,0.4765625,0.7265625,0.8828125,0.30642307
0.4140625,0.2578125,0.7734375,0.6328125,0.8828125,0.22622779
0.4140625,0.2578125,0.7734375,0.7265625,0.6953125,0.2807865
0.7421875,0.0234375,0.4765625,0.6328125,0.6953125,0.20873879
0.9140625,0.7578125,0.2734375,0.2265625,0.3828125,0.16267312
0.2421875,0.7578125,0.2734375,0.2265625,0.3828125,0.38265523
0.9140625,0.5234375,0.2734375,0.2265625,0.3828125,0.06164805
0.9140625,0.7578125,0.9765625,0.2265625,0.3828125,0.19325799
0.9140625,0.7578125,0.2734375,0.1328125,0.3828125,0.20298025
0.9140625,0.7578125,0.2734375,0.2265625,0.1953125,0.16971564
0.2421875,0.5234375,0.9765625,0.1328125,0.1953125,0.35956475
0.6640625,0.0078125,0.5234375,0.9765625,0.1328125,0.20244424
0.4921875,0.0078125,0.5234375,0.9765625,0.1328125,0.2702844
0.6640625,0.2734375,0.5234375,0.9765625,0.1328125,0.18779393
0.6640625,0.0078125,0.7265625,0.9765625,0.1328125,0.1332791
0.6640625,0.0078125,0.5234375,0.3828125,0.1328125,0.20873995
0.6640625,0.0078125,0.5234375,0.9765625,0.4453125,0.19310403
0.4921875,0.2734375,0.7265625,0.3828125,0.4453125,0.18342444
0.1640625,0.5078125,0.0234375,0.4765625,0.6328125,0.49712223
0.9921875,0.5078125,0.0234375,0.4765625,0.6328125,0.2762273
0.1640625,0.7734375,0.0234375,0.4765625,0.6328125,0.61125076
0.1640625,0.5078125,0.2265625,0.4765625,0.6328125,0.34095526
0.1640625,0.5078125,0.0234375,0.8828125,0.6328125,0.4934644
0.1640625,0.5078125,0.0234375,0.4765625,0.9453125,0.42376852
0.9921875,0.7734375,0.2265625,0.8828125,0.9453125,0.15717739
0.2265625,0.4453125,0.5859375,0.1640625,0.0703125,0.5077572
0.8046875,0.4453125,0.5859375,0.1640625,0.0703125,0.28748214
0.2265625,0.0859375,0.5859375,0.1640625,0.0703125,0.47731555
0.2265625,0.4453125,0.4140625,0.1640625,0.0703125,0.406667
0.2265625,0.4453125,0.5859375,0.6953125,0.0703125,0.47633147
0.2265625,0.4453125,0.5859375,0.1640625,0.2578125,0.45175326
0.8046875,0.0859375,0.4140625,0.6953125,0.2578125,0.0685208
0.7265625,0.9453125,0.0859375,0.6640625,0.5703125,0.41803262
0.3046875,0.9453125,0.0859375,0.6640625,0.5703125,0.63391924
0.7265625,0.5859375,0.0859375,0.6640625,0.5703125,0.24443667
0.7265625,0.9453125,0.9140625,0.6640625,0.5703125,0.3050668
0.7265625,0.9453125,0.0859375,0.1953125,0.5703125,0.43887565
0.7265625,0.9453125,0.0859375,0.6640625,0.7578125,0.41298807
0.3046875,0.5859375,0.9140625,0.1953125,0.7578125,0.36315584
0.9765625,0.1953125,0.8359375,0.4140625,0.8203125,0.03740382
0.0546875,0.1953125,0.8359375,0.4140625,0.8203125,0.25844657
0.9765625,0.3359375,0.8359375,0.4140625,0.8203125,0.049586352
0.9765625,0.1953125,0.6640625,0.4140625,0.8203125,0.17688254
0.9765625,0.1953125,0.8359375,0.4453125,0.8203125,0.0366604
0.9765625,0.1953125,0.8359375,0.4140625,0.5078125,0.044094227
0.0546875,0.3359375,0.6640625,0.4453125,0.5078125,0.41605484
0.4765625,0.6953125,0.3359375,0.9140625,0.3203125,0.21661597
0.5546875,0.6953125,0.3359375,0.9140625,0.3203125,0.14791346
0.4765625,0.8359375,0.3359375,0.9140625,0.3203125,0.2860882
0.4765625,0.6953125,0.1640625,0.9140625,0.3203125,0.24014696
0.4765625,0.6953125,0.3359375,0.9453125,0.3203125,0.21649298
0.4765625,0.6953125,0.3359375,0.9140625,0.0078125,0.29089183
0.5546875,0.8359375,0.1640625,0.9453125,0.0078125,0.3150696
0.3515625,0.0703125,0.2109375,0.7890625,0.4453125,0.23156089
0.9296875,0.0703125,0.2109375,0.7890625,0.4453125,0.025043406
0.3515625,0.4609375,0.2109375,0.7890625,0.4453125,0.26448977
0.3515625,0.0703125,0.5390625,0.7890625,0.4453125,0.39517525
0.3515625,0.0703125,0.2109375,0.3203125,0.4453125,0.23953974
0.3515625,0.0703125,0.2109375,0.7890625,0.8828125,0.22525156
0.9296875,0.4609375,0.5390625,0.3203125,0.8828125,0.2232562
0.8515625,0.5703125,0.7109375,0.2890625,0.9453125,0.1846534
0.4296875,0.5703125,0.7109375,0.2890625,0.9453125,0.33451086
0.8515625,0.9609375,0.7109375,0.2890625,0.9453125,0.37243348
0.8515625,0.5703125,0.0390625,0.2890625,0.9453125,0.22195393
0.8515625,0.5703125,0.7109375,0.8203125,0.9453125,0.17466083
0.8515625,0.5703125,0.7109375,0.2890625,0.3828125,0.18867016
0.4296875,0.9609375,0.0390625,0.8203125,0.3828125,0.5536157
0.6015625,0.3203125,0.4609375,0.5390625,0.6953125,0.19741488
0.1796875,0.3203125,0.4609375,0.5390625,0.6953125,0.4114737
0.6015625,0.2109375,0.4609375,0.5390625,0.6953125,0.18792439
0.6015625,0.3203125,0.2890625,0.5390625,0.6953125,0.07281783
0.6015625,0.3203125,0.4609375,0.5703125,0.6953125,0.19701573
0.6015625,0.3203125,0.4609375,0.5390625,0.1328125,0.15775584
0.1796875,0.2109375,0.2890625,0.5703125,0.1328125,0.23732795
0.1015625,0.8203125,0.9609375,0.0390625,0.1953125,0.36364597
0.6796875,0.8203125,0.9609375,0.0390625,0.1953125,0.14365497
0.1015625,0.7109375,0.9609375,0.0390625,0.1953125,0.30952567
0.1015625,0.8203125,0.7890625,0.0390625,0.1953125,0.38879848
0.1015625,0.8203125,0.9609375,0.0703125,0.1953125,0.24871796
0.1015625,0.8203125,0.9609375,0.0390625,0.6328125,0.4259404
0.6796875,0.7109375,0.7890625,0.0703125,0.6328125,0.062053606
0.0703125,0.3515625,0.1171875,0.9453125,0.7890625,0.35033756
0.3984375,0.3515625,0.1171875,0.9453125,0.7890625,0.31029975
0.0703125,0.9296875,0.1171875,0.9453125,0.7890625,0.5855025
0.0703125,0.3515625,0.2578125,0.9453125,0.7890625,0.26450342
0.0703125,0.3515625,0.1171875,0.2265625,0.7890625,0.36704007
0.0703125,0.3515625,0.1171875,0.9453125,0.2265625,0.3047039
0.3984375,0.9296875,0.2578125,0.2265625,0.2265625,0.43069947
0.5703125,0.8515625,0.6171875,0.4453125,0.2890625,0.3811851
0.8984375,0.8515625,0.6171875,0.4453125,0.2890625,0.3671673
0.5703125,0.4296875,0.6171875,0.4453125,0.2890625,0.20389403
0.5703125,0.8515625,0.7578125,0.4453125,0.2890625,0.2751162
0.5703125,0.8515625,0.6171875,0.7265625,0.2890625,0.37776047
0.5703125,0.8515625,0.6171875,0.4453125,0.7265625,0.45286423
0.8984375,0.4296875,0.7578125,0.7265625,0.7265625,0.15206167
0.8203125,0.1015625,0.3671875,0.6953125,0.0390625,0.09081297
0.6484375,0.1015625,0.3671875,0.6953125,0.0390625,0.092976384
0.8203125,0.6796875,0.3671875,0.6953125,0.0390625,0.21128085
0.8203125,0.1015625,0.5078125,0.6953125,0.0390625,0.20982131
0.8203125,0.1015625,0.3671875,0.9765625,0.0390625,0.08936125
0.8203125,0.1015625,0.3671875,0.6953125,0.9765625,0.024205044
0.6484375,0.6796875,0.5078125,0.9765625,0.9765625,0.2643929
0.3203125,0.6015625,0.8671875,0.1953125,0.5390625,0.364691
0.1484375,0.6015625,0.8671875,0.1953125,0.5390625,0.37160096
0.3203125,0.1796875,0.8671875,0.1953125,0.5390625,0.27387014
0.3203125,0.6015625,0.0078125,0.1953125,0.5390625,0.5336788
0.3203125,0.6015625,0.8671875,0.4765625,0.5390625,0.34617546
0.3203125,0.6015625,0.8671875,0.1953125,0.4765625,0.34344167
0.1484375,0.1796875,0.0078125,0.4765625,0.4765625,0.41000316
0.4453125,0.2265625,0.7421875,0.0703125,0.6640625,0.09465736
0.2734375,0.2265625,0.7421875,0.0703125,0.6640625,0.18307611
0.4453125,0.5546875,0.7421875,0.0703125,0.6640625,0.16632926
0.4453125,0.2265625,0.6328125,0.0703125,0.6640625,0.17998168
0.4453125,0.2265625,0.7421875,0.8515625,0.6640625,0.27236202
0.4453125,0.2265625,0.7421875,0.0703125,0.6015625,0.09042302
0.2734375,0.5546875,0.6328125,0.8515625,0.6015625,0.51354265
0.9453125,0.7265625,0.2421875,0.5703125,0.1640625,0.1527645
0.7734375,0.7265625,0.2421875,0.5703125,0.1640625,0.15286744
0.9453125,0.0546875,0.2421875,0.5703125,0.1640625,0.016180813
0.9453125,0.7265625,0.1328125,0.5703125,0.1640625,0.22181138
0.9453125,0.7265625,0.2421875,0.3515625,0.1640625,0.15753394
0.9453125,0.7265625,0.2421875,0.5703125,0.1015625,0.17472722
0.7734375,0.0546875,0.1328125,0.3515625,0.1015625,0.1120628
0.6953125,0.4765625,0.9921875,0.3203125,0.4140625,0.08944848
0.5234375,0.4765625,0.9921875,0.3203125,0.4140625,0.12755719
0.6953125,0.8046875,0.9921875,0.3203125,0.4140625,0.22935897
0.6953125,0.4765625,0.3828125,0.3203125,0.4140625,0.10321161
0.6953125,0.4765625,0.9921875,0.1015625,0.4140625,0.26186606
0.6953125,0.4765625,0.9921875,0.3203125,0.3515625,0.07498464
0.5234375,0.8046875,0.3828125,0.1015625,0.3515625,0.43918446
0.1953125,0.9765625,0.4921875,0.8203125,0.9140625,0.633911
