Prime Delay,Print Speed,X Offset Correction,Y Offset Correction,Y
0.671875,0.390625,0.921875,0.171875,0.31747454
0.671875,0.390625,0.328125,0.546875,0.56918776
0.515625,0.046875,0.921875,0.546875,0.23425823
0.171875,0.890625,0.828125,0.671875,0.077829875
0.015625,0.890625,0.828125,0.671875,0.078194775
0.171875,0.546875,0.828125,0.671875,0.08305341
0.171875,0.890625,0.421875,0.671875,0.55522466
0.171875,0.890625,0.828125,0.046875,0.101756364
0.015625,0.546875,0.421875,0.046875,0.58473957
0.234375,0.078125,0.265625,0.984375,0.24933583
0.703125,0.078125,0.265625,0.984375,0.25378683
0.234375,0.734375,0.265625,0.984375,0.28555083
0.234375,0.078125,0.734375,0.984375,0.014840685
0.234375,0.078125,0.265625,0.359375,0.47364843
0.703125,0.734375,0.734375,0.359375,0.27981928
0.734375,0.578125,0.765625,0.484375,0.215589
0.203125,0.578125,0.765625,0.484375,0.21176612
0.734375,0.234375,0.765625,0.484375,0.21725892
0.734375,0.578125,0.234375,0.484375,0.41291443
0.734375,0.578125,0.765625,0.859375,0.010656618
0.203125,0.234375,0.234375,0.859375,0.20582905
0.984375,0.328125,0.015625,0.734375,0.08204326
0.453125,0.328125,0.015625,0.734375,0.07600682
0.984375,0.484375,0.015625,0.734375,0.06629955
0.984375,0.328125,0.984375,0.734375,0.30029637
0.984375,0.328125,0.015625,0.609375,0.16416997
0.453125,0.484375,0.984375,0.609375,0.3606429
0.484375,0.828125,0.515625,0.234375,0.6356404
0.953125,0.828125,0.515625,0.234375,0.6442643
0.484375,0.984375,0.515625,0.234375,0.634488
0.484375,0.828125,0.484375,0.234375,0.67012715
0.484375,0.828125,0.515625,0.109375,0.5627252
0.953125,0.984375,0.484375,0.109375,0.6046834
0.359375,0.453125,0.890625,0.109375,0.21509174
0.828125,0.453125,0.890625,0.109375,0.21922219
0.359375,0.609375,0.890625,0.109375,0.20958896
0.359375,0.453125,0.859375,0.109375,0.17695042
0.359375,0.453125,0.890625,0.734375,0.10847509
0.828125,0.609375,0.859375,0.734375,0.06896144
0.859375,0.953125,0.390625,0.609375,0.5858981
0.328125,0.953125,0.390625,0.609375,0.58228755
0.859375,0.109375,0.390625,0.609375,0.54986167
0.859375,0.953125,0.359375,0.609375,0.5544488
0.859375,0.953125,0.390625,0.234375,0.68330324
0.328125,0.109375,0.359375,0.234375,0.61220694
0.609375,0.203125,0.640625,0.359375,0.43484843
0.078125,0.203125,0.640625,0.359375,0.42648068
0.609375,0.359375,0.640625,0.359375,0.4570904
0.609375,0.203125,0.609375,0.359375,0.4994154
0.609375,0.203125,0.640625,0.484375,0.39581326
0.078125,0.359375,0.609375,0.484375,0.47425446
0.109375,0.703125,0.140625,0.859375,0.039728902
0.578125,0.703125,0.140625,0.859375,0.055440143
0.109375,0.859375,0.140625,0.859375,0.038016073
0.109375,0.703125,0.109375,0.859375,0.009057827
0.109375,0.703125,0.140625,0.984375,0.059383854
0.578125,0.859375,0.109375,0.984375,0.042711183
0.078125,0.234375,0.796875,0.140625,0.16741216
0.421875,0.234375,0.796875,0.140625,0.16467588
0.078125,0.078125,0.796875,0.140625,0.12671165
0.078125,0.234375,0.265625,0.140625,0.44049048
0.078125,0.234375,0.796875,0.453125,0.21768725
0.421875,0.078125,0.265625,0.453125,0.4473288
0.578125,0.734375,0.296875,0.640625,0.44622463
0.921875,0.734375,0.296875,0.640625,0.43281242
0.578125,0.578125,0.296875,0.640625,0.44904023
0.578125,0.734375,0.765625,0.640625,0.12170704
0.578125,0.734375,0.296875,0.953125,0.35352194
0.921875,0.578125,0.765625,0.953125,0.018407777
0.828125,0.484375,0.546875,0.390625,0.6224785
0.671875,0.484375,0.546875,0.390625,0.6245315
0.828125,0.828125,0.546875,0.390625,0.61546636
0.828125,0.484375,0.015625,0.390625,0.26484087
0.828125,0.484375,0.546875,0.703125,0.44268492
0.671875,0.828125,0.015625,0.703125,0.08008812
0.328125,0.984375,0.046875,0.890625,-0.007478632
0.171875,0.984375,0.046875,0.890625,-0.0065913796
0.328125,0.328125,0.046875,0.890625,0.016429655
0.328125,0.984375,0.515625,0.890625,0.41752636
0.328125,0.984375,0.046875,0.203125,0.20020781
0.171875,0.328125,0.515625,0.203125,0.6500083
0.453125,0.359375,0.421875,0.765625,0.5152483
0.046875,0.359375,0.421875,0.765625,0.5192951
0.453125,0.203125,0.421875,0.765625,0.49300635
0.453125,0.359375,0.140625,0.765625,0.07774206
0.453125,0.359375,0.421875,0.578125,0.63505214
0.046875,0.203125,0.140625,0.578125,0.17935072
0.953125,0.859375,0.921875,0.265625,0.3447097
0.546875,0.859375,0.921875,0.265625,0.34498793
0.953125,0.703125,0.921875,0.265625,0.34642252
0.953125,0.859375,0.640625,0.265625,0.422162
0.953125,0.859375,0.921875,0.078125,0.23834328
0.546875,0.703125,0.640625,0.078125,0.3177867
0.703125,0.109375,0.171875,0.515625,0.2371951
0.796875,0.109375,0.171875,0.515625,0.23608592
0.703125,0.953125,0.171875,0.515625,0.27323154
0.703125,0.109375,0.390625,0.515625,0.6146777
0.703125,0.109375,0.171875,0.328125,0.2941383
0.796875,0.953125,0.390625,0.328125,0.7065482
0.203125,0.609375,0.671875,0.015625,0.21154153
0.296875,0.609375,0.671875,0.015625,0.21103346
0.203125,0.453125,0.671875,0.015625,0.21704432
0.203125,0.609375,0.890625,0.015625,0.14471531
0.203125,0.609375,0.671875,0.828125,0.13415873
0.296875,0.453125,0.890625,0.828125,0.072327204
0.140625,0.421875,0.234375,0.328125,0.45535514
0.984375,0.421875,0.234375,0.328125,0.4575595
0.140625,0.265625,0.234375,0.328125,0.46084663
0.140625,0.421875,0.203125,0.328125,0.3930852
0.140625,0.421875,0.234375,0.515625,0.39841193
0.984375,0.265625,0.203125,0.515625,0.34383786
0.640625,0.921875,0.734375,0.828125,0.041059367
0.484375,0.921875,0.734375,0.828125,0.028647967
0.640625,0.765625,0.734375,0.828125,0.042450435
0.640625,0.921875,0.703125,0.828125,0.08307261
0.640625,0.921875,0.734375,0.015625,0.118442185
0.484375,0.765625,0.703125,0.015625,0.1494351
0.890625,0.171875,0.484375,0.078125,0.5682008
0.234375,0.171875,0.484375,0.078125,0.565364
0.890625,0.515625,0.484375,0.078125,0.58968973
0.890625,0.171875,0.453125,0.078125,0.5869952
0.890625,0.171875,0.484375,0.265625,0.6745672
0.234375,0.515625,0.453125,0.265625,0.71201354
0.390625,0.671875,0.984375,0.578125,0.37969035
0.734375,0.671875,0.984375,0.578125,0.38514084
0.390625,0.015625,0.984375,0.578125,0.35248262
0.390625,0.671875,0.953125,0.578125,0.3156138
0.390625,0.671875,0.984375,0.765625,0.25988653
0.734375,0.015625,0.953125,0.765625,0.17405275
0.265625,0.046875,0.609375,0.703125,0.28223777
0.609375,0.046875,0.609375,0.703125,0.29126757
0.265625,0.390625,0.609375,0.703125,0.32482082
0.265625,0.046875,0.328125,0.703125,0.41379103
0.265625,0.046875,0.609375,0.390625,0.46203136
0.609375,0.390625,0.328125,0.390625,0.64519745
0.765625,0.546875,0.109375,0.203125,0.22217932
0.109375,0.546875,0.109375,0.203125,0.21899876
0.765625,0.890625,0.109375,0.203125,0.2169558
0.765625,0.546875,0.828125,0.203125,0.21296191
0.765625,0.546875,0.109375,0.890625,0.014492884
0.109375,0.890625,0.828125,0.890625,-0.0031286553
0.515625,0.296875,0.859375,0.953125,0.04310154
0.359375,0.296875,0.859375,0.953125,0.055692084
0.515625,0.640625,0.859375,0.953125,0.01881615
0.515625,0.296875,0.078125,0.953125,0.014817841
0.515625,0.296875,0.859375,0.640625,0.1358042
0.359375,0.640625,0.078125,0.640625,0.09582566
0.015625,0.796875,0.359375,0.453125,0.6493365
0.859375,0.796875,0.359375,0.453125,0.6516949
0.015625,0.140625,0.359375,0.453125,0.62266123
0.015625,0.796875,0.578125,0.453125,0.5358318
0.015625,0.796875,0.359375,0.140625,0.5990614
0.859375,0.140625,0.578125,0.140625,0.46123987
