n,theta,r,t,Y
0.8330078125,0.3759765625,0.0791015625,0.3662109375,0.25329736
0.6279296875,0.4404296875,0.0791015625,0.3662109375,0.30662403
0.6279296875,0.3759765625,0.7392578125,0.3662109375,0.3703038
0.6279296875,0.3759765625,0.0791015625,0.7841796875,0.19954677
0.8330078125,0.4404296875,0.7392578125,0.7841796875,0.38868874
0.1279296875,0.8759765625,0.5791015625,0.8662109375,0.37113786
0.3330078125,0.8759765625,0.5791015625,0.8662109375,0.4043696
0.1279296875,0.9404296875,0.5791015625,0.8662109375,0.37115628
0.1279296875,0.8759765625,0.2392578125,0.8662109375,0.29207268
0.1279296875,0.8759765625,0.5791015625,0.2841796875,0.43810415
0.3330078125,0.9404296875,0.2392578125,0.2841796875,0.39228913
0.1904296875,0.0634765625,0.0166015625,0.5537109375,0.116949484
0.8955078125,0.0634765625,0.0166015625,0.5537109375,0.17594576
0.1904296875,0.7529296875,0.0166015625,0.5537109375,0.31390223
0.1904296875,0.0634765625,0.9267578125,0.5537109375,0.23295735
0.1904296875,0.0634765625,0.0166015625,0.0966796875,0.14708072
0.8955078125,0.7529296875,0.9267578125,0.0966796875,0.5190376
0.6904296875,0.5634765625,0.5166015625,0.0537109375,0.4917907
0.3955078125,0.5634765625,0.5166015625,0.0537109375,0.46576732
0.6904296875,0.2529296875,0.5166015625,0.0537109375,0.31254834
0.6904296875,0.5634765625,0.4267578125,0.0537109375,0.47109205
0.6904296875,0.5634765625,0.5166015625,0.5966796875,0.45557943
0.3955078125,0.2529296875,0.4267578125,0.5966796875,0.22961503
0.9404296875,0.3134765625,0.2666015625,0.8037109375,0.20020364
0.1455078125,0.3134765625,0.2666015625,0.8037109375,0.13485722
0.9404296875,0.0029296875,0.2666015625,0.8037109375,0.18056424
0.9404296875,0.3134765625,0.6767578125,0.8037109375,0.28534314
0.9404296875,0.3134765625,0.2666015625,0.8466796875,0.19275461
0.1455078125,0.0029296875,0.6767578125,0.8466796875,0.19290827
0.4404296875,0.8134765625,0.7666015625,0.3037109375,0.5002401
0.6455078125,0.8134765625,0.7666015625,0.3037109375,0.51844025
0.4404296875,0.5029296875,0.7666015625,0.3037109375,0.46594277
0.4404296875,0.8134765625,0.1767578125,0.3037109375,0.39192957
0.4404296875,0.8134765625,0.7666015625,0.3466796875,0.49748623
0.6455078125,0.5029296875,0.1767578125,0.3466796875,0.37307844
0.3154296875,0.4384765625,0.6416015625,0.4287109375,0.38262343
0.5205078125,0.4384765625,0.6416015625,0.4287109375,0.40777004
0.3154296875,0.8779296875,0.6416015625,0.4287109375,0.46765608
0.3154296875,0.4384765625,0.5517578125,0.4287109375,0.36884764
0.3154296875,0.4384765625,0.6416015625,0.9716796875,0.30462694
0.5205078125,0.8779296875,0.5517578125,0.9716796875,0.40103036
0.8154296875,0.9384765625,0.1416015625,0.9287109375,0.33116987
0.0205078125,0.9384765625,0.1416015625,0.9287109375,0.24088234
0.8154296875,0.3779296875,0.1416015625,0.9287109375,0.18993622
0.8154296875,0.9384765625,0.0517578125,0.9287109375,0.3194423
0.8154296875,0.9384765625,0.1416015625,0.4716796875,0.3964728
0.0205078125,0.3779296875,0.0517578125,0.4716796875,0.15322405
0.5654296875,0.1884765625,0.8916015625,0.1787109375,0.31557584
0.2705078125,0.1884765625,0.8916015625,0.1787109375,0.27961996
0.5654296875,0.1279296875,0.8916015625,0.1787109375,0.31430933
0.5654296875,0.1884765625,0.8017578125,0.1787109375,0.32293662
0.5654296875,0.1884765625,0.8916015625,0.2216796875,0.31363806
0.2705078125,0.1279296875,0.8017578125,0.2216796875,0.2837765
0.0654296875,0.6884765625,0.3916015625,0.6787109375,0.3474106
0.7705078125,0.6884765625,0.3916015625,0.6787109375,0.42892435
0.0654296875,0.6279296875,0.3916015625,0.6787109375,0.34502482
0.0654296875,0.6884765625,0.3017578125,0.6787109375,0.32462847
0.0654296875,0.6884765625,0.3916015625,0.7216796875,0.34135
0.7705078125,0.6279296875,0.3017578125,0.7216796875,0.39769587
0.0966796875,0.2197265625,0.5478515625,0.3349609375,0.22976261
0.2392578125,0.2197265625,0.5478515625,0.3349609375,0.2542832
0.0966796875,0.4091796875,0.5478515625,0.3349609375,0.310288
0.0966796875,0.2197265625,0.0830078125,0.3349609375,0.12835237
0.0966796875,0.2197265625,0.5478515625,0.1904296875,0.23761737
0.2392578125,0.4091796875,0.0830078125,0.1904296875,0.24125311
0.5966796875,0.7197265625,0.0478515625,0.8349609375,0.3278619
0.7392578125,0.7197265625,0.0478515625,0.8349609375,0.33510298
0.5966796875,0.9091796875,0.0478515625,0.8349609375,0.32841277
0.5966796875,0.7197265625,0.5830078125,0.8349609375,0.43915445
0.5966796875,0.7197265625,0.0478515625,0.6904296875,0.3505469
0.7392578125,0.9091796875,0.5830078125,0.6904296875,0.46963143
0.8466796875,0.4697265625,0.7978515625,0.0849609375,0.47567773
0.9892578125,0.4697265625,0.7978515625,0.0849609375,0.4712649
0.8466796875,0.6591796875,0.7978515625,0.0849609375,0.5309618
0.8466796875,0.4697265625,0.3330078125,0.0849609375,0.40394613
0.8466796875,0.4697265625,0.7978515625,0.9404296875,0.3855933
0.9892578125,0.6591796875,0.3330078125,0.9404296875,0.36473295
0.3466796875,0.9697265625,0.2978515625,0.5849609375,0.38286546
0.4892578125,0.9697265625,0.2978515625,0.5849609375,0.40039694
0.3466796875,0.1591796875,0.2978515625,0.5849609375,0.18649116
0.3466796875,0.9697265625,0.8330078125,0.5849609375,0.46158722
0.3466796875,0.9697265625,0.2978515625,0.4404296875,0.39717278
0.4892578125,0.1591796875,0.8330078125,0.4404296875,0.2970517
0.4716796875,0.3447265625,0.1728515625,0.7099609375,0.19086649
0.3642578125,0.3447265625,0.1728515625,0.7099609375,0.177643
0.4716796875,0.2841796875,0.1728515625,0.7099609375,0.16868813
0.4716796875,0.3447265625,0.4580078125,0.7099609375,0.25887725
0.4716796875,0.3447265625,0.1728515625,0.8154296875,0.17432173
0.3642578125,0.2841796875,0.4580078125,0.8154296875,0.20693068
0.9716796875,0.8447265625,0.6728515625,0.2099609375,0.52113074
0.8642578125,0.8447265625,0.6728515625,0.2099609375,0.5244592
0.9716796875,0.7841796875,0.6728515625,0.2099609375,0.52102065
0.9716796875,0.8447265625,0.9580078125,0.2099609375,0.506973
0.9716796875,0.8447265625,0.6728515625,0.3154296875,0.51540804
0.8642578125,0.7841796875,0.9580078125,0.3154296875,0.5044687
0.7216796875,0.0947265625,0.4228515625,0.9599609375,0.19094221
0.6142578125,0.0947265625,0.4228515625,0.9599609375,0.18548046
0.7216796875,0.5341796875,0.4228515625,0.9599609375,0.36793226
0.7216796875,0.0947265625,0.2080078125,0.9599609375,0.13852312
0.7216796875,0.0947265625,0.4228515625,0.0654296875,0.2856831
0.6142578125,0.5341796875,0.2080078125,0.0654296875,0.40479228
0.2216796875,0.5947265625,0.9228515625,0.4599609375,0.43864232
0.1142578125,0.5947265625,0.9228515625,0.4599609375,0.42014718
0.2216796875,0.0341796875,0.9228515625,0.4599609375,0.24785207
0.2216796875,0.5947265625,0.7080078125,0.4599609375,0.44955432
0.2216796875,0.5947265625,0.9228515625,0.5654296875,0.42821097
0.1142578125,0.0341796875,0.7080078125,0.5654296875,0.22983766
0.1591796875,0.4072265625,0.4853515625,0.1474609375,0.31607452
0.6767578125,0.4072265625,0.4853515625,0.1474609375,0.37772334
0.1591796875,0.2216796875,0.4853515625,0.1474609375,0.23754144
0.1591796875,0.4072265625,0.3955078125,0.1474609375,0.29436103
0.1591796875,0.4072265625,0.4853515625,0.7529296875,0.26179364
0.6767578125,0.2216796875,0.3955078125,0.7529296875,0.22319588
0.6591796875,0.9072265625,0.9853515625,0.6474609375,0.46430984
0.1767578125,0.9072265625,0.9853515625,0.6474609375,0.40658683
0.6591796875,0.7216796875,0.9853515625,0.6474609375,0.4637808
0.6591796875,0.9072265625,0.8955078125,0.6474609375,0.47891673
0.6591796875,0.9072265625,0.9853515625,0.2529296875,0.49894097
0.1767578125,0.7216796875,0.8955078125,0.2529296875,0.45529583
0.9091796875,0.1572265625,0.2353515625,0.3974609375,0.22368383
0.4267578125,0.1572265625,0.2353515625,0.3974609375,0.19984224
0.9091796875,0.9716796875,0.2353515625,0.3974609375,0.42009684
0.9091796875,0.1572265625,0.1455078125,0.3974609375,0.20572504
0.9091796875,0.1572265625,0.2353515625,0.0029296875,0.24201502
0.4267578125,0.9716796875,0.1455078125,0.0029296875,0.39662766
0.4091796875,0.6572265625,0.7353515625,0.8974609375,0.42251122
0.9267578125,0.6572265625,0.7353515625,0.8974609375,0.44797432
0.4091796875,0.4716796875,0.7353515625,0.8974609375,0.3688594
0.4091796875,0.6572265625,0.6455078125,0.8974609375,0.41616285
0.4091796875,0.6572265625,0.7353515625,0.5029296875,0.47869736
0.9267578125,0.4716796875,0.6455078125,0.5029296875,0.4441603
0.2841796875,0.0322265625,0.8603515625,0.7724609375,0.22732474
0.8017578125,0.0322265625,0.8603515625,0.7724609375,0.27194363
0.2841796875,0.0966796875,0.8603515625,0.7724609375,0.22753866
0.2841796875,0.0322265625,0.0205078125,0.7724609375,0.10327284
0.2841796875,0.0322265625,0.8603515625,0.1279296875,0.28538707
0.8017578125,0.0966796875,0.0205078125,0.1279296875,0.20616795
0.7841796875,0.5322265625,0.3603515625,0.2724609375,0.43908936
0.3017578125,0.5322265625,0.3603515625,0.2724609375,0.39731187
0.7841796875,0.5966796875,0.3603515625,0.2724609375,0.4536407
0.7841796875,0.5322265625,0.5205078125,0.2724609375,0.47736382
0.7841796875,0.5322265625,0.3603515625,0.6279296875,0.40797955
0.3017578125,0.5966796875,0.5205078125,0.6279296875,0.41902786
0.5341796875,0.2822265625,0.6103515625,0.5224609375,0.2951892
0.0517578125,0.2822265625,0.6103515625,0.5224609375,0.22427095
0.5341796875,0.8466796875,0.6103515625,0.5224609375,0.48143715
0.5341796875,0.2822265625,0.2705078125,0.5224609375,0.21856447
0.5341796875,0.2822265625,0.6103515625,0.8779296875,0.24465851
0.0517578125,0.8466796875,0.2705078125,0.8779296875,0.28336346
0.0341796875,0.7822265625,0.1103515625,0.0224609375,0.32780254
0.5517578125,0.7822265625,0.1103515625,0.0224609375,0.40354407
0.0341796875,0.3466796875,0.1103515625,0.0224609375,0.16535996
0.0341796875,0.7822265625,0.7705078125,0.0224609375,0.4472736
0.0341796875,0.7822265625,0.1103515625,0.3779296875,0.31137878
0.5517578125,0.3466796875,0.7705078125,0.3779296875,0.3441488
0.0498046875,0.0166015625,0.2509765625,0.4443359375,0.13889179
0.3173828125,0.0166015625,0.2509765625,0.4443359375,0.18402888
0.0498046875,0.4873046875,0.2509765625,0.4443359375,0.2921455
0.0498046875,0.0166015625,0.3173828125,0.4443359375,0.155048
0.0498046875,0.0166015625,0.2509765625,0.2685546875,0.151129
0.3173828125,0.4873046875,0.3173828125,0.2685546875,0.36567602
0.5498046875,0.5166015625,0.7509765625,0.9443359375,0.40303558
0.8173828125,0.5166015625,0.7509765625,0.9443359375,0.41521108
0.5498046875,0.9873046875,0.7509765625,0.9443359375,0.43038476
0.5498046875,0.5166015625,0.8173828125,0.9443359375,0.4016121
0.5498046875,0.5166015625,0.7509765625,0.7685546875,0.43506563
0.8173828125,0.9873046875,0.8173828125,0.7685546875,0.47316688
0.7998046875,0.2666015625,0.0009765625,0.1943359375,0.21046934
0.5673828125,0.2666015625,0.0009765625,0.1943359375,0.1998697
0.7998046875,0.7373046875,0.0009765625,0.1943359375,0.39919913
0.7998046875,0.2666015625,0.0673828125,0.1943359375,0.21539463
0.7998046875,0.2666015625,0.0009765625,0.5185546875,0.1876848
0.5673828125,0.7373046875,0.0673828125,0.5185546875,0.37074026
0.2998046875,0.7666015625,0.5009765625,0.6943359375,0.4119016
0.0673828125,0.7666015625,0.5009765625,0.6943359375,0.37260664
0.2998046875,0.2373046875,0.5009765625,0.6943359375,0.21943939
0.2998046875,0.7666015625,0.5673828125,0.6943359375,0.42506233
0.2998046875,0.7666015625,0.5009765625,0.0185546875,0.46150196
0.0673828125,0.2373046875,0.5673828125,0.0185546875,0.24290551
0.4248046875,0.3916015625,0.8759765625,0.5693359375,0.33999166
0.1923828125,0.3916015625,0.8759765625,0.5693359375,0.3057585
0.4248046875,0.3623046875,0.8759765625,0.5693359375,0.31691498
0.4248046875,0.3916015625,0.1923828125,0.5693359375,0.2410604
0.4248046875,0.3916015625,0.8759765625,0.6435546875,0.3311574
0.1923828125,0.3623046875,0.1923828125,0.6435546875,0.17491628
0.9248046875,0.8916015625,0.3759765625,0.0693359375,0.4708905
0.6923828125,0.8916015625,0.3759765625,0.0693359375,0.4697316
0.9248046875,0.8623046875,0.3759765625,0.0693359375,0.47087577
0.9248046875,0.8916015625,0.6923828125,0.0693359375,0.5298456
0.9248046875,0.8916015625,0.3759765625,0.1435546875,0.468436
0.6923828125,0.8623046875,0.6923828125,0.1435546875,0.5262174
0.6748046875,0.1416015625,0.6259765625,0.8193359375,0.25687274
0.9423828125,0.1416015625,0.6259765625,0.8193359375,0.25820395
0.6748046875,0.6123046875,0.6259765625,0.8193359375,0.44890192
0.6748046875,0.1416015625,0.4423828125,0.8193359375,0.22116213
0.6748046875,0.1416015625,0.6259765625,0.3935546875,0.3082182
0.9423828125,0.6123046875,0.4423828125,0.3935546875,0.465868
0.1748046875,0.6416015625,0.1259765625,0.3193359375,0.34047604
0.4423828125,0.6416015625,0.1259765625,0.3193359375,0.37979874
0.1748046875,0.1123046875,0.1259765625,0.3193359375,0.14610887
0.1748046875,0.6416015625,0.9423828125,0.3193359375,0.4421838
0.1748046875,0.6416015625,0.1259765625,0.8935546875,0.2704734
0.4423828125,0.1123046875,0.9423828125,0.8935546875,0.21713665
0.2373046875,0.3291015625,0.6884765625,0.0068359375,0.30927536
0.7548828125,0.3291015625,0.6884765625,0.0068359375,0.3605758
0.2373046875,0.1748046875,0.6884765625,0.0068359375,0.28476694
0.2373046875,0.3291015625,0.1298828125,0.0068359375,0.19543587
0.2373046875,0.3291015625,0.6884765625,0.7060546875,0.25775468
0.7548828125,0.1748046875,0.1298828125,0.7060546875,0.17070721
0.7373046875,0.8291015625,0.1884765625,0.5068359375,0.40051436
0.2548828125,0.8291015625,0.1884765625,0.5068359375,0.35248077
0.7373046875,0.6748046875,0.1884765625,0.5068359375,0.39920995
0.7373046875,0.8291015625,0.6298828125,0.5068359375,0.49794808
0.7373046875,0.8291015625,0.1884765625,0.2060546875,0.42161268
0.2548828125,0.6748046875,0.6298828125,0.2060546875,0.46970835
0.9873046875,0.0791015625,0.9384765625,0.2568359375,0.31000683
0.0048828125,0.0791015625,0.9384765625,0.2568359375,0.22118154
0.9873046875,0.9248046875,0.9384765625,0.2568359375,0.50718653
0.9873046875,0.0791015625,0.3798828125,0.2568359375,0.26443022
0.9873046875,0.0791015625,0.9384765625,0.4560546875,0.29612243
0.0048828125,0.9248046875,0.3798828125,0.4560546875,0.3589003
0.4873046875,0.5791015625,0.4384765625,0.7568359375,0.40377438
0.5048828125,0.5791015625,0.4384765625,0.7568359375,0.4055776
0.4873046875,0.4248046875,0.4384765625,0.7568359375,0.3142131
0.4873046875,0.5791015625,0.8798828125,0.7568359375,0.4427828
0.4873046875,0.5791015625,0.4384765625,0.9560546875,0.3674581
0.5048828125,0.4248046875,0.8798828125,0.9560546875,0.31870848
0.3623046875,0.2041015625,0.0634765625,0.8818359375,0.10147923
0.6298828125,0.2041015625,0.0634765625,0.8818359375,0.128679
0.3623046875,0.0498046875,0.0634765625,0.8818359375,0.09912777
0.3623046875,0.2041015625,0.2548828125,0.8818359375,0.13518168
0.3623046875,0.2041015625,0.0634765625,0.3310546875,0.16849564
0.6298828125,0.0498046875,0.2548828125,0.3310546875,0.22704643
0.8623046875,0.7041015625,0.5634765625,0.3818359375,0.49870425
0.1298828125,0.7041015625,0.5634765625,0.3818359375,0.4286049
0.8623046875,0.5498046875,0.5634765625,0.3818359375,0.4842981
0.8623046875,0.7041015625,0.7548828125,0.3818359375,0.5174684
0.8623046875,0.7041015625,0.5634765625,0.8310546875,0.44445062
0.1298828125,0.5498046875,0.7548828125,0.8310546875,0.37870926
0.6123046875,0.4541015625,0.3134765625,0.6318359375,0.3388868
0.3798828125,0.4541015625,0.3134765625,0.6318359375,0.3152075
0.6123046875,0.7998046875,0.3134765625,0.6318359375,0.40925968
0.6123046875,0.4541015625,0.0048828125,0.6318359375,0.28657144
0.6123046875,0.4541015625,0.3134765625,0.5810546875,0.34492996
0.3798828125,0.7998046875,0.0048828125,0.5810546875,0.3393082
0.1123046875,0.9541015625,0.8134765625,0.1318359375,0.4571999
0.8798828125,0.9541015625,0.8134765625,0.1318359375,0.53015673
0.1123046875,0.2998046875,0.8134765625,0.1318359375,0.2751819
0.1123046875,0.9541015625,0.5048828125,0.1318359375,0.42807293
0.1123046875,0.9541015625,0.8134765625,0.0810546875,0.45887795
0.8798828125,0.2998046875,0.5048828125,0.0810546875,0.32068983
0.0810546875,0.4853515625,0.2197265625,0.8505859375,0.23674598
0.0986328125,0.4853515625,0.2197265625,0.8505859375,0.23993465
0.0810546875,0.5185546875,0.2197265625,0.8505859375,0.25571832
0.0810546875,0.4853515625,0.8486328125,0.8505859375,0.3325831
0.0810546875,0.4853515625,0.2197265625,0.6123046875,0.27232146
0.0986328125,0.5185546875,0.8486328125,0.6123046875,0.39031953
0.5810546875,0.9853515625,0.7197265625,0.3505859375,0.5102133
0.5986328125,0.9853515625,0.7197265625,0.3505859375,0.5115363
0.5810546875,0.0185546875,0.7197265625,0.3505859375,0.3128805
0.5810546875,0.9853515625,0.3486328125,0.3505859375,0.44275337
0.5810546875,0.9853515625,0.7197265625,0.1123046875,0.5221324
0.5986328125,0.0185546875,0.3486328125,0.1123046875,0.25866255
0.8310546875,0.2353515625,0.4697265625,0.6005859375,0.26658696
0.8486328125,0.2353515625,0.4697265625,0.6005859375,0.26649344
0.8310546875,0.2685546875,0.4697265625,0.6005859375,0.2706313
0.8310546875,0.2353515625,0.5986328125,0.6005859375,0.29193616
0.8310546875,0.2353515625,0.4697265625,0.3623046875,0.28874728
0.8486328125,0.2685546875,0.5986328125,0.3623046875,0.31804737
0.3310546875,0.7353515625,0.9697265625,0.1005859375,0.47463408
0.3486328125,0.7353515625,0.9697265625,0.1005859375,0.4771243
0.3310546875,0.7685546875,0.9697265625,0.1005859375,0.47483358
0.3310546875,0.7353515625,0.0986328125,0.1005859375,0.37376693
0.3310546875,0.7353515625,0.9697265625,0.8623046875,0.40025315
0.3486328125,0.7685546875,0.0986328125,0.8623046875,0.30207577
0.4560546875,0.1103515625,0.5947265625,0.2255859375,0.29583403
0.4736328125,0.1103515625,0.5947265625,0.2255859375,0.29778716
0.4560546875,0.6435546875,0.5947265625,0.2255859375,0.49031508
0.4560546875,0.1103515625,0.7236328125,0.2255859375,0.30863416
0.4560546875,0.1103515625,0.5947265625,0.4873046875,0.27752683
0.4736328125,0.6435546875,0.7236328125,0.4873046875,0.4867611
0.9560546875,0.6103515625,0.0947265625,0.7255859375,0.3518921
0.9736328125,0.6103515625,0.0947265625,0.7255859375,0.35107985
0.9560546875,0.1435546875,0.0947265625,0.7255859375,0.16007036
0.9560546875,0.6103515625,0.2236328125,0.7255859375,0.37488252
0.9560546875,0.6103515625,0.0947265625,0.9873046875,0.3041156
0.9736328125,0.1435546875,0.2236328125,0.9873046875,0.13447198
0.7060546875,0.3603515625,0.8447265625,0.4755859375,0.35102174
0.7236328125,0.3603515625,0.8447265625,0.4755859375,0.35165146
0.7060546875,0.3935546875,0.8447265625,0.4755859375,0.37715307
0.7060546875,0.3603515625,0.9736328125,0.4755859375,0.3333792
0.7060546875,0.3603515625,0.8447265625,0.7373046875,0.3197229
0.7236328125,0.3935546875,0.9736328125,0.7373046875,0.3288414
0.2060546875,0.8603515625,0.3447265625,0.9755859375,0.30938932
0.2236328125,0.8603515625,0.3447265625,0.9755859375,0.3122981
0.2060546875,0.8935546875,0.3447265625,0.9755859375,0.3094061
0.2060546875,0.8603515625,0.4736328125,0.9755859375,0.3413609
0.2060546875,0.8603515625,0.3447265625,0.2373046875,0.4008044
0.2236328125,0.8935546875,0.4736328125,0.2373046875,0.43570152
0.1435546875,0.1728515625,0.7822265625,0.6630859375,0.22577102
0.5361328125,0.1728515625,0.7822265625,0.6630859375,0.28030202
0.1435546875,0.8310546875,0.7822265625,0.6630859375,0.4217715
0.1435546875,0.1728515625,0.6611328125,0.6630859375,0.22089611
0.1435546875,0.1728515625,0.7822265625,0.4248046875,0.2509876
0.5361328125,0.8310546875,0.6611328125,0.4248046875,0.4966441
0.6435546875,0.6728515625,0.2822265625,0.1630859375,0.43901208
0.0361328125,0.6728515625,0.2822265625,0.1630859375,0.3569498
0.6435546875,0.3310546875,0.2822265625,0.1630859375,0.26981682
0.6435546875,0.6728515625,0.1611328125,0.1630859375,0.41278744
0.6435546875,0.6728515625,0.2822265625,0.9248046875,0.3548612
0.0361328125,0.3310546875,0.1611328125,0.9248046875,0.077379
0.8935546875,0.4228515625,0.5322265625,0.9130859375,0.3231816
0.2861328125,0.4228515625,0.5322265625,0.9130859375,0.2795862
0.8935546875,0.0810546875,0.5322265625,0.9130859375,0.22625878
0.8935546875,0.4228515625,0.9111328125,0.9130859375,0.3372106
0.8935546875,0.4228515625,0.5322265625,0.6748046875,0.36260676
0.2861328125,0.0810546875,0.9111328125,0.6748046875,0.23611754
0.3935546875,0.9228515625,0.0322265625,0.4130859375,0.3589297
0.7861328125,0.9228515625,0.0322265625,0.4130859375,0.38789922
0.3935546875,0.5810546875,0.0322265625,0.4130859375,0.35047323
0.3935546875,0.9228515625,0.4111328125,0.4130859375,0.434399
0.3935546875,0.9228515625,0.0322265625,0.1748046875,0.37311155
0.7861328125,0.5810546875,0.4111328125,0.1748046875,0.46909386
0.2685546875,0.2978515625,0.4072265625,0.2880859375,0.24151383
0.9111328125,0.2978515625,0.4072265625,0.2880859375,0.28736937
0.2685546875,0.9560546875,0.4072265625,0.2880859375,0.4240722
0.2685546875,0.2978515625,0.7861328125,0.2880859375,0.29472288
0.2685546875,0.2978515625,0.4072265625,0.5498046875,0.22028553
0.9111328125,0.9560546875,0.7861328125,0.5498046875,0.50190854
0.7685546875,0.7978515625,0.9072265625,0.7880859375,0.46074638
0.4111328125,0.7978515625,0.9072265625,0.7880859375,0.43428162
0.7685546875,0.4560546875,0.9072265625,0.7880859375,0.3921232
0.7685546875,0.7978515625,0.2861328125,0.7880859375,0.3868393
0.7685546875,0.7978515625,0.9072265625,0.0498046875,0.5237535
0.4111328125,0.4560546875,0.2861328125,0.0498046875,0.35475853
0.5185546875,0.0478515625,0.1572265625,0.0380859375,0.21055768
0.1611328125,0.0478515625,0.1572265625,0.0380859375,0.16074155
0.5185546875,0.2060546875,0.1572265625,0.0380859375,0.21300979
0.5185546875,0.0478515625,0.5361328125,0.0380859375,0.29855356
0.5185546875,0.0478515625,0.1572265625,0.2998046875,0.19970645
0.1611328125,0.2060546875,0.5361328125,0.2998046875,0.24033828
0.0185546875,0.5478515625,0.6572265625,0.5380859375,0.3928361
0.6611328125,0.5478515625,0.6572265625,0.5380859375,0.4791528
0.0185546875,0.7060546875,0.6572265625,0.5380859375,0.40782273
0.0185546875,0.5478515625,0.0361328125,0.5380859375,0.27061033
0.0185546875,0.5478515625,0.6572265625,0.7998046875,0.35774466
0.6611328125,0.7060546875,0.0361328125,0.7998046875,0.33682227
0.0263671875,0.1494140625,0.1494140625,0.1708984375,0.13137832
0.8251953125,0.1494140625,0.1494140625,0.1708984375,0.22058499
0.0263671875,0.8857421875,0.1494140625,0.1708984375,0.32791448
0.0263671875,0.1494140625,0.2158203125,0.1708984375,0.14435883
0.0263671875,0.1494140625,0.1494140625,0.8701171875,0.0581304
0.8251953125,0.8857421875,0.2158203125,0.8701171875,0.35685372
0.5263671875,0.6494140625,0.6494140625,0.6708984375,0.4660735
0.3251953125,0.6494140625,0.6494140625,0.6708984375,0.4417956
0.5263671875,0.3857421875,0.6494140625,0.6708984375,0.33351332
0.5263671875,0.6494140625,0.7158203125,0.6708984375,0.47127002
0.5263671875,0.6494140625,0.6494140625,0.3701171875,0.49651822
0.3251953125,0.3857421875,0.7158203125,0.3701171875,0.34487662
0.7763671875,0.3994140625,0.3994140625,0.4208984375,0.33696824
0.0751953125,0.3994140625,0.3994140625,0.4208984375,0.25714535
0.7763671875,0.1357421875,0.3994140625,0.4208984375,0.26291335
0.7763671875,0.3994140625,0.4658203125,0.4208984375,0.3532057
0.7763671875,0.3994140625,0.3994140625,0.1201171875,0.35385945
0.0751953125,0.1357421875,0.4658203125,0.1201171875,0.21621919
0.2763671875,0.8994140625,0.8994140625,0.9208984375,0.39238203
0.5751953125,0.8994140625,0.8994140625,0.9208984375,0.42822075
0.2763671875,0.6357421875,0.8994140625,0.9208984375,0.38945168
0.2763671875,0.8994140625,0.9658203125,0.9208984375,0.38196176
0.2763671875,0.8994140625,0.8994140625,0.6201171875,0.4403866
0.5751953125,0.6357421875,0.9658203125,0.6201171875,0.46287468
0.4013671875,0.2744140625,0.5244140625,0.7958984375,0.22792481
0.7001953125,0.2744140625,0.5244140625,0.7958984375,0.25360915
0.4013671875,0.7607421875,0.5244140625,0.7958984375,0.41548404
